TransactionID,UserID,CourseID,TransactionDate
T00001,U01434,C044,2023-01-01 08:19:17
T00002,U02534,C044,2023-01-01 09:05:20
T00003,U02565,C049,2023-01-01 11:33:36
T00004,U02277,C026,2023-01-01 14:46:11
T00005,U00657,C007,2023-01-01 17:57:56
T00006,U02915,C003,2023-01-01 19:28:29
T00007,U01941,C030,2023-01-01 20:36:22
T00008,U01473,C006,2023-01-01 20:51:51
T00009,U02720,C048,2023-01-02 09:19:13
T00010,U01295,C006,2023-01-02 10:56:35
T00011,U01275,C026,2023-01-02 12:40:36
T00012,U02336,C044,2023-01-02 14:44:54
T00013,U00887,C045,2023-01-02 14:59:34
T00014,U00963,C048,2023-01-02 15:06:25
T00015,U01852,C013,2023-01-02 16:13:32
T00016,U00644,C012,2023-01-02 16:15:39
T00017,U02030,C009,2023-01-02 16:33:25
T00018,U02724,C048,2023-01-02 21:50:29
T00019,U01893,C013,2023-01-03 08:43:08
T00020,U00270,C049,2023-01-03 11:15:40
T00021,U01204,C002,2023-01-03 14:52:37
T00022,U01809,C006,2023-01-03 14:52:51
T00023,U01901,C007,2023-01-03 15:58:59
T00024,U02696,C008,2023-01-03 17:39:07
T00025,U01189,C008,2023-01-03 17:44:29
T00026,U01429,C041,2023-01-03 20:02:44
T00027,U00841,C035,2023-01-03 20:25:52
T00028,U02601,C012,2023-01-03 21:09:40
T00029,U00135,C026,2023-01-03 23:35:52
T00030,U01831,C011,2023-01-04 10:52:13
T00031,U01981,C009,2023-01-04 22:25:21
T00032,U01430,C001,2023-01-04 23:38:40
T00033,U00125,C003,2023-01-05 12:59:20
T00034,U02069,C008,2023-01-05 14:46:45
T00035,U02501,C009,2023-01-05 18:26:17
T00036,U02531,C009,2023-01-05 22:43:24
T00037,U01038,C038,2023-01-06 09:17:12
T00038,U02838,C004,2023-01-06 16:28:29
T00039,U02637,C021,2023-01-06 17:14:36
T00040,U01818,C006,2023-01-06 18:35:30
T00041,U01099,C028,2023-01-06 19:38:49
T00042,U01646,C011,2023-01-06 21:52:25
T00043,U00354,C009,2023-01-06 22:55:39
T00044,U02739,C005,2023-01-07 09:07:33
T00045,U01594,C039,2023-01-07 11:05:11
T00046,U02504,C014,2023-01-07 12:26:04
T00047,U01056,C050,2023-01-07 13:00:10
T00048,U00886,C012,2023-01-07 13:46:10
T00049,U01657,C004,2023-01-07 17:58:32
T00050,U00603,C013,2023-01-07 19:26:22
T00051,U01379,C032,2023-01-07 21:03:35
T00052,U01143,C006,2023-01-07 21:33:48
T00053,U02439,C006,2023-01-07 22:18:49
T00054,U00985,C038,2023-01-07 23:04:33
T00055,U00700,C002,2023-01-08 09:01:22
T00056,U00325,C048,2023-01-08 10:07:42
T00057,U01589,C038,2023-01-08 10:20:55
T00058,U00497,C013,2023-01-08 12:43:54
T00059,U01971,C001,2023-01-08 15:57:28
T00060,U00593,C031,2023-01-08 16:48:50
T00061,U01559,C001,2023-01-08 17:23:09
T00062,U02257,C022,2023-01-08 19:48:24
T00063,U01877,C007,2023-01-08 21:05:38
T00064,U02216,C039,2023-01-08 22:41:26
T00065,U01789,C014,2023-01-08 23:20:34
T00066,U02049,C013,2023-01-09 10:47:14
T00067,U01354,C046,2023-01-09 11:59:14
T00068,U02378,C027,2023-01-09 14:29:03
T00069,U00688,C003,2023-01-09 17:02:31
T00070,U01152,C026,2023-01-09 18:21:10
T00071,U02300,C022,2023-01-09 23:25:33
T00072,U01779,C035,2023-01-10 10:11:12
T00073,U01274,C043,2023-01-10 10:28:48
T00074,U02953,C002,2023-01-10 11:06:36
T00075,U01351,C045,2023-01-10 12:02:52
T00076,U01896,C006,2023-01-10 13:14:21
T00077,U02317,C007,2023-01-10 22:00:11
T00078,U00644,C015,2023-01-10 22:58:15
T00079,U01705,C015,2023-01-11 09:33:53
T00080,U01765,C020,2023-01-11 09:41:15
T00081,U00717,C012,2023-01-11 15:22:19
T00082,U01226,C031,2023-01-11 18:57:33
T00083,U02206,C046,2023-01-11 20:22:26
T00084,U01705,C011,2023-01-12 09:12:05
T00085,U00446,C003,2023-01-12 09:21:05
T00086,U00079,C025,2023-01-12 11:25:25
T00087,U00477,C031,2023-01-12 14:11:35
T00088,U01110,C037,2023-01-12 15:56:13
T00089,U00191,C010,2023-01-12 16:16:54
T00090,U00113,C019,2023-01-12 17:43:22
T00091,U01050,C003,2023-01-12 18:19:46
